Skordilo
Charaso
Smari
Sambas
Zofori
Apostoli
Thrapsano
Archontiko (Alitzani)
Arkalohori
Mousouta
Kasanos
Ano & Kato Poulia
Lefkochori (Voutoufou)
Evaggelismos (Mouchtari)
Monastiraki
Sklaverochori
Archagellos (Varvaro)
Kardoulianos
Kastelli
Roussochoria
Avli
Nipiditos
Panagia
Afrati
Geraki
Armacha
Agia Paraskevi
Liliano
Mathia
Amariano
Kastamonitsa
Tichos
Lyttos (Xidas)
Bitzariano (Pigi)
Aski
Sfendili
Tzermiado
Marmaketo
Laggou
Pinakiano
Kato Metohi
Agios Charalambos (Gerodomouri
Plati
Psychro
Magoulas
Kaminaki
Avrakontes
Agios Georgios
Machera
Ini
Vakiotes
Lagouta
Ano Kastelliana
Kato Kastelliana
Demati
Tsoutsouros
Skinias
Karavados
Martha
Thomadiano
Embaros
Milliarades
Katofygi
Kato Symi
Kalami
Dermatos
Agios Ioannis
Kastri
Mesi
Kato Viannos
Pervola
Chondros
Keratokambos
Ano Viannos
Loutraki
Vachos
Amiras
Kefalovrisi
Krevatas
Agios Vasilios
Pefkos
Ano Kornias
Syndonia
Nea Arvi
Achendrias
Agia Marina
Mournia
Prinias
Amygdalos
Paranymfi
Kapetaniana
Koumassa
Koukia
Fournofaraggo
Agios Nikolaos
Pentamodi
Pyrgou
Agios Myron
Siva
Dafnes
Agios Syllas
Tsaggaraki
Profitis Ilias (Kanli Kastelli
Epano Archanes
Kounavi
Peza
Kalloni
Agies Paraskies
Myrtia (Varvaro Ag.Paraskion)
Sgourokefali
Kerassia
Avgeniki
Venerato
Sinapi
Pyrgos
Kyparissos (Dourvoutzi)
Galeni
Roukani
Choudetsi
Agios Vassilios
Melesses
Astritsi
Voni
Galatas
Choumeri
Agia Varvara
Pirouniana
Megali Vryssi
Preveliana
Agios Thomas
Douli
Kolena
Genna
Arkadi
Damania
Kardiotissa
Metaxochori (Kako Chorio)
Armanogia
Amourgelles
Stironas
Panorama (Gournia)
Patsideros
Zinta
Miliarissi
Partira
Kato Moulia
Metochi Vleroma
Valis
Inia
Larani
Atsipades
Melidochori
Ano Akria
Kastelli (Tsifout-Kastelli)
Charaki
Tefeli
Ligortynos
Aposelemi
Pyrathi
Badia
Tourloti
Drapeti
Garipa
Gaggales
Stoli
Rizikas
Loures
Stavies
Dionysi
Panagia
Moria
Sokaras
Metochia Sokara
Asimi
Velouli
Apoini
Sternes
Charakas
Doraki
Pyrgos
Pretoria (Protoria)
Plakiotissa
Kefalados
Rotassi
Neochori
Kalyvia
Messochori
Filippi
Sarakiniko
Metochia
Kastri
Vatsiana
Xenaki
Ammoudara
Gazi
Ergatikes Katikies
Agia Marina (Tsalikaki)
Tylissos
Agia Pelagia
Rogdia
Kavrochori
Kato Kalesia
Keramoutsi
Kamari
Korfes
Petrokefali
Stavrakia
Voutes
Knossos
Vassilies
Agios Vlassis
Kato Archanes
Patsides
Skalani
Kallithea (Babali Metochi)
Karteros
Karteros
Aitania
Episkopi
Epano Vathia
Giofyrakia
Matala
Kali Limenes
Agios Markos
Platia Peramata
Antiskari
Gerokampos
Lentas
Agios Kyrillos
Vassiliki
Pigaidakia
Krotos
Krousonas
Sarchos
Kato Assites
Ano Assites
Prinias
Ano Moulia
Flathiakes
Choustouliana
Platanos
Plora
Agii Deka
Apomarma
Gergeri
Nyvritos
Zaros
Moroni
Kato Stalos
Galatas
Daratso
Kato Galatas
Makrys Tichos
Pervolia
Vamvakopoulo
Lygides
Potistiria
Varypetro
Myloniana
Falassarna
Limeniskos
Platanos
Gramvoussa (Lardas)
Zerviana
Fournados
Karefiliana
Azogyras
Piperiana
Neo Chorio
Kalyviani
Viglia
Roufas
Kastelli
Ampelouzos
Mitropoli
Galia
Vorizia
Kamares
Magarikari
Grigoria
Klima
Platanos
Lochria
Lagoli
Kalochorafitis
Skourvoula
Laloumas
Faneromeni
Vori
Kalyvia
Mires
Agios Ioannis
Kamilari
Kalamaki
Sivas
Pitsidia
Kousses
Petrokefalo
Pombia
Listaros
Peri
Kappariana
Bali
Agia
Dafnedes
Damavolos
Abdanirtes
Kefali
Kastri
Argoulio
Agios Mamas
Abdellas
Kalyvos
Agios Ioannis
Garazo
Apladiana
Livadia
Krana
Zoniana
Veni
Axos
Kryoneri
Agridia
Doxaro
Makrygiannio
Theodora
Aloides
Almyrida
Sisses
Chonos
Aimonas
Anogia
Aidonochori (Metochia Kamariot
Damasta
Paralia Fodele
Fodele
Achlada
Marathos
Astyraki
Gonies
Kamariotis
Skaloti
Kallikratis
Argoules
Ano Rodakino
Kato Rodakino
Alones
Sellia
Kali Sykea
Plakias
Myrthios
Kokkina
Mariou
Damnoni
Aggouseliana
Agios Vassilios
Koxare
Atsipades
Agia Pelagia
Frati
Asomatos
Lefkogia
Karines
Lambini
Dariviana
Ano Mixorrouma
Mixorrouma
Mourne
Spili
Drimiskos
Kerames
Agalianos
Patsos
Kissos
Vatos
Ardaktos
Agia Paraskevi
Rodakinokampos
Akoumia
Platanes
Kentrochori
Vrysses
Saktouria
Kato Saktouria
Agia Galini
Kokkinos Pyrgos
Rizikas
Apodoulou
Agia Paraskevi
Agios Ioannis
Nithavris
Melambes
Agios Georgios
Orne
Krya Vryssi
Nea Krya Vryssi
Ano Meros
Chordaki
Kouroutes
Fourfouras
Vizari
Petrochori
Lambiotes
Platania
Monastiraki
Amari
Opsigias
Gerakari
Vrysses
Drygies
Meronas
Vistagi
Pervolia
Platanes
Adelianos Kambos
Pigianos Kampos
Sfakaki
Stavromenos
Skaleta
Panormos
Roumeli
Exandis
Achlades
Melidoni
Perama
Aggeliana
Alfa
Pevriana
Margarites
Choumeri
Keramota
Garipas
Orthes
Archea Eleftherna (Prines)
Eleftherna (Anarchodometocha)
Erfi
Skouloufia
Roupes
Amnatos
Kyrianna
Loutra
Asteri
Xamalevri
Magnissia
Episkopi
Prinos
Pigi
Adele
Messi
Maroulas
Giannoudi
Prassies
Chromonastiri
Myli
Xiro Chorio
Selli
Apostoli
Agia Fotini
Thronos
Klissidi
Violi Charaki
Panorama
Gallos
Roussospiti
Kapediana
Oros
Goulediana
Kare
Ambelaki
Armeni
Fotinos
Koumi
Kastellos
Atsipopoulo
Prines
Gerani
Vederi
Gonia
Agios Andreas
Ano Valsamonero
Kato Valsamonero
Kalonyktis
Kato Malaki
Ano Malaki
Saitoures
Roustika
Moundros
Agios Konstantinos
Karoti
Episkopi
Koufi
Archontiki (Arkoudena)
Agios Georgios
Argyroupoli
Arolithi
Roumbado
Myriokefala
Assi Gonia
Maroulou
Patima
Kournas
Dramia
Paralia Kourna (Kavros)
Mathes
Georgioupoli
Agios Ioannis
Aradaina
Libaniana
Loutro
Anopolis
Kambia
Limnia
Pavliana
Chora Sfakion
Kavros
Mouri
Komitades
Vraskas
Vouvas
Nomikiana
Agios Nektarios
Patsianos
Kapsodassos
Asfendos
Imbros
Petres
Ammoudari (Askyfou)
Kares
Vatoudiaris
Embrosneros
Agios Thymotis
Alikambos
Fones
Vafes
Nipos
Vrysses
Maza
Chambatha
Kalamitsi Alexandrou
Exopolis
Kokkino Chorio
Plaka
Drapanos
Paleloni
Kefalas
Sellia
Likotinarea
Kalamitsi Amygdalio
Litsarda
Xirosterni
Gavalochori
Vamos
Metochi
Metochi Genitsari
Kaina
Tsivaras
Almyrida
Kalyves
Armeni
Neo Chorio
Agii Pantes (Babalis)
Pemonia
Melidoni
Paidochori
Macheri
Ramni
Kares
Stylos
Provarma
Aptera (Palaiokastro)
Ydatopyrgos
Kafes
Madaro
Vamiana
Kambi
Drakona
Platyvola
Gerolakkos
Katochori
Kontopoula
Loulos
Achlades
Panagia
Malaxa
Tsikalaria
Nerokouros
Mournies
Souda
Chania
Kounoupidiana
Korakies
Pithari
Aroni
Sternes
Anemomyli
Paxinos (Galaggados)
Kato Marathi
Mouzouras
Kathiana (Kathania)
Plakoures
Agios Onoufrios
Stavros
Chorafakia
Afrata
Rodopos
Aspra Nera
Kolymbari
Marathokefala
Nochia
Spilia
Drakona
Karthiana
Episkopi
Mothiana
Metochi
Skafiotes
Voukolies
Neo Chorio
Koulkouthiana
Gavalomouri
Neriana
Pontikiana
Polemarchio
Elaionas (Kamissiana)
Skoutelonas
Rapaniana
Tavronitis
Maleme
Vlacheronitissa
Sirilio
Elliniko (Passaliana)
Zounaki
Xammoudochori
Metochi
Daskaliana
Kontomari
Xirokambi
Manoliopoulo
Psathogiannos
Loutraki
Modi
Paleo Gerani
Gerani
Vrysses
Koufos
Patellari
Platanias
Agia Marina
Trachilos
Kissamos (Kastelli)
Merada
Kallergiana
Kato Paleokastro
Kokkino Metochi
Potamida
Rokka
Kotsiana
Nopigia
Astrikas
Vassilopoulo
Plakalona
Melissourgio
Kamara (Kamara Koumouliou)
Ravdoucha
Kaloudiana
Kares
Anoskeli
Mesa Voukolies
Lakki
Pigi (Mouriziana)
Vassiliana
Zymbragos
Dromonero
Fotakado
Kato Kefala
Ano Kefala
Marakiana
Kakopetros
Platanes
Neara Essiana
Palia Roumata
Loyfardiana
Kechres
Lidiana
Sembronas
Spina
Nea Roumata
Pappadiana
Nteres
Vatolakkos
Alikianos
Fournes
Skines
Lakki
Meskla
Therisso
Chliaro
Orthouni
Chosti
Agia Roumeli
Palia Agia Roumeli (Samaria)
Omalos
Prasses
Epanochori
Prines
Kambanos
Skafi
Pera Skafi
Agriles
Maralia
Livada
Maza
Rodovani
Temenia
Prodromi
Sougia
Koustogerako
Livadas
Moni
Anisaraki
Tsagariakos
Sfinari
Ano Sfinari
Melissia
Berbathiana
Kambos
Plagia (Cherethiana)
Keramoti
Amygdalokefali
Livadia
Simantiriana
Pappadiana
Vathi (Kouneni)
Kefali
Tzitzifia
Perivolia
Elos
Limni
Sklavopoula
Laggadas (Choumoussiana)
Kalamios
Azogyres
Kityros
Voutas
Kambos
Gialos (Koundoura)
Paleochora
Anydri
Platanes
Asfendiles
Azogyres
Spaniakos
Strati
Maroudiana
Pappadiana
Armi
Agia Triada (Tsaliana)
Sarakina
Plemeniana
Kandanos
Drys
Kopeti
Mylones
Aligi
Strovles
Faraggi
Archontiko
Tsiskiana
Moustakos
Vlatos
Koutsomatados
Sassalos
Kontoudiana
Pyrgos
Malathyros
Gra-Kera
Panethimos
Sfakopigadi
Kamara
Trialonia
Choudaliana
Makronas
Topolia
Kalathenes
Koukounara
Polyrrinia (Epano Paleokastro)
Grigoriana
Goulouvas
Loussakies
Zachariana
Ierapetra
Kato Chorio
Chohlakies
Sfakakia
Pano & Kato Drys
Epano Krya
Adrianos
Chryssi (Gaidouronissi)
Lefki (Koufonissi)
Karave
Fokia
Ambelos
Tzitzifes
Fres
Drapanias
Stalos
Kyrtomados
Agia
Chordaki
Aktounta
Velonado
Vilandredo
Kato Poros
Frantzeskiana Metochia
Rethymno
Paggalochori
Kalogeros
Miamou
Tris Ekklisies
Alithini
Vassilika Anogia
Vagionia
Tymbaki
Loutraki
Kato Vathia
Kardamiana
Mastrichiana
Makres
Plouti
Panassos
Paleokastro
Linoperamata
Elea
Alagni
Charkia
Kavoussi
Skepasti
Pantanassa
Voleones
Messonissia
Elenes
Finix (Finikias)
Myrthianos Plakias
Kalathas
Marathi
Chryssavgi (Moulete)
Malamadiana
Kavoussi
Skalidiana
Tomadiana
Skonizo
Asprouliani
Kastellos
Fylaki
Kakodiki
Kadros
Sfakos
Chryssopigi (Tsaggareliana)
Floria
Pano Floria
Trachiniakos
Despotiko
Psariana
Thymia
Spiliaria
Agios Georgios
Agios Antonios
Marediana
Fterolakka
Vouves
Ano Vouves
Glossa
Cherethiana
Fragkokastello (Paradissos)
Vathypetro
Karnari
Ambela
Kera Eleoussa (Arap Agas)
Arvi
Xeniakos
Agii Theodori (Kefalogiannis)
Kollyvas
Skafidaras
Agios Dimitrios (Karamanli Met
Ano Kalessia
Pantanassa
Vourvoulitis
Anopolis
Pelekita
Stavromeno
Galipe
Skopela
Chochlakies
Stamni
Kato Karouzana
Ano Karouzana
Agnos
Polythea (Pigaidouri)
Tziggouna
Herakleio
Nea Alikarnassos
Katalagari
Neo Venerato
Kera
Ano Kera
Anissaras
Aggissaras
Agios Ioannis
Aposselemis
Chatzana
Sfakia
Paleochora
Kissamos
Frangokastello
Kolimbari Village
Kalyves Village
Platanias Village
Anopolis
Akrotiri
Alikianos
Deres
Elos
Epanochori
Gavalochori
Kalami
Kandanos
Kefali
Kournas
Mournies
Papadiana
Rodopos
Rodovani
Souda
Stylos
Topolia
Vamos
Voukolies
Vryses
Loutro
Prases
Therissos
Nerokouros
Elafonisi
Balos
Falassarna
Frangokastello beach
Pahia Ammos
Georgioupolis
Sfakia beach
Loutraki
Maleme
Souda Beach
Agia Marina
Agioi Apostoloi
Drapanias
Finikas
Germaniko Pouli
Gialiskari
Glyka Nera
Golden Beach
Grammeno
Kalamaki
Kalathas
Kalyves
Kiani Akti
Kissamos beach
Kolimbari
Koutelos
Krios
Marathi
Orthi Ammos
Sfinari
Sougia
Stalos
Stavros
Tavronitis
Tripiti
Votsalo
Votsalo
Platanias
Paleohora Beach
Halikia
Makrys Gyalos
Chania
Crete
Krhth
Khania
Hrakleion
Herakleio
?????
????????
???????
??????
??????
?. ????????
